labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
09N03035,15744639,S,40010,39391,09N0861,5302,S09SC083-018-4,53,132,53,100,Bt1,341569,S2009SC083018,Cecil,series,"Fine, kaolinitic, thermic Typic Kanhapludults",346683,S2009SC083018,4/27/2005 0:00,34.9266663,-82.0583344,US,United States,SC,South Carolina,SC083,Spartanburg,136,Southern Piedmont,SC083,"Spartanburg County, South Carolina",NASIS updated 5/4/2020 7:48:51 AM,8/14/2013 19:15,scl,0.53,4B1a1a,0.12,4B1a1a,0.15,4B1a1a,0.23,4H2a,0.038,4H2a,,,4.8,4C1a2a,5.5,4C1a2a,,,,,,,24,0.2,6,scl,3A1a1a,32,14.6,53.4,2,,
11N00359,15831085,S,53441,132697,11N0067,5515,S10GA023002-1,0,2,0,2,A,890510,S2010GA023002,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",908406,S2010GA023002,8/22/2013 0:00,32.3966111,-83.3633333,US,United States,GA,Georgia,GA023,Bleckley,133A,Southern Coastal Plain,GA610,"Bleckley, Dodge, and Telfair Counties, Georgia",NASIS updated 5/4/2020 7:50:44 AM,2/6/2018 18:01,sl,6.68,4B1a1a,2.53,4B1a1a,0.63,4B1a1a,4.11,4H2a,0.328,4H2a,,,5.3,4C1a2a,5.4,4C1a2a,,,,,,,100,4.1,12,sl,3A1a1a,15,12.2,72.8,1,,
92P00639,117857,S,18710,18710,92P0087,2388,,38,63,38,63,Bw,127820,91NC021007,Burton,taxadjunct,"Fine-loamy, isotic, frigid Andic Haplumbrepts",126076,S1991NC021007,9/1/1991 0:00,35.6958351,-82.3666687,US,United States,NC,North Carolina,NC021,Buncombe,130,Blue Ridge,NC021,"Buncombe County, North Carolina",NASIS updated 5/4/2020 8:24:30 AM,4/24/2016 14:12,sl,0,6N2e,0,6O2d,0.02,6Q2b,,,0.1,6B3a,1.32,6A1c,4.7,4C1a2a,4.9,4C1a2a,,,,,,,1,,,sl,3A1a1a,10.4,23.5,66.1,15,1.13,4A1h
FL6600902,15817151,S,51071,50345,S66_009,5460,,25,43,25,43,Bt1,518301,1979-FL131-S66_009,Orangeburg,,"Typic Kandiudults, fine-loamy, kaolinitic, thermic.",529595,S1979-FL131-S66_009,4/15/2011 0:00,30.8494549,-86.176033,US,United States,FL,Florida,FL131,Walton,133A,Southern Coastal Plain,FL131,"Walton County, Florida",NASIS updated 5/4/2020 8:46:14 AM,4/23/2016 6:15,SL,0.44,6N2,0.11,6O2,0.02,6Q2,,,,,0.4,6A1a,4.6,8C1e,5.2,8C1a,,,,,,,,,,SL,3A1a1a,13.9,15.6,,,,
FL3700504,15814922,S,50755,50029,S37_005,5460,,66,112,66,100,Bw3,517762,1975-FL073-S37_005,Troup,,"Grossarenic Kandiudults, loamy, kaolinitic, thermic.",529015,S1975-FL073-S37_005,4/15/2011 0:00,30.5311298,-84.3624878,US,United States,FL,Florida,FL073,Leon,133A,Southern Coastal Plain,FL073,"Leon County, Florida",NASIS updated 5/4/2020 8:45:40 AM,4/23/2016 6:15,FS,0.71,6N2,0.17,6O2,0.05,6Q2,,,,,0.1,6A1a,5.9,8C1e,6.2,8C1a,,,,,,,,,,FS,3A1a1a,7,4.1,,,,
83P02036,68448,S,10298,10298,83P0444,895,,51,71,51,71,Bt1,121338,83GA247001,Pacolet,series,"Clayey, oxidic Typic Hapludults",119594,S1983GA247001,3/1/1983 0:00,33.6358337,-84.0952759,US,United States,GA,Georgia,GA247,Rockdale,,,,,NASIS updated 5/4/2020 8:15:30 AM,4/24/2016 14:12,c,0.12,6N2e,0.93,6O2d,0.02,6Q2b,,,0.028,6B3a,0.35,6A1c,4.5,4C1a2a,5.2,4C1a2a,,,,,,,14,,12,c,3A1a1a,59.4,12.2,28.4,2,1.48,4A1h
MU054674,15793048,S,47375,46661,M9561386,5429,,66,81,66,81,Bt2,1367290,1995MO203086M,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",96946,1995MO203086M,9/27/1995 0:00,37.1502278,-91.0777722,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO613,"Shannon County, Missouri, North & West Parts",NASIS updated 5/4/2020 8:40:48 AM,10/18/2019 14:35,sil,2.4,4B1a1,0.8,4B1a1,0.1,4B1a1,,,,,0.1,6A2d,4.9,8C1e,5.6,8C1a,,,,,,,56,,,sil,3A1a1a,20.2,55.9,23.9,,,
FL3400603,15820970,S,51690,50964,S34_006,5460,,41,64,41,64,Bw2,517723,1989-FL067-S34_006,Hurricane,,"Aquic Grossarenic Alorthods, sandy, siliceous, thermic.",528976,S1989-FL067-S34_006,4/15/2011 0:00,30.0910702,-83.3113785,US,United States,FL,Florida,FL067,Lafayette,152A,Eastern Gulf Coast Flatwoods,FL067,"Lafayette County, Florida",NASIS updated 5/4/2020 8:45:38 AM,4/23/2016 6:15,FS,0.04,6N2,0.03,6O2,0.02,6Q2,,,,,0.44,6A1a,5.1,8C1e,6.8,8C1a,,,,,,,,,,FS,3A1a1a,2.3,4.2,,,,
MU051927,15795401,S,47687,46973,M94C_E03,5429,,71,81,71,81,3Bt4,1367131,1994MO203903M,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Typic Hapludults",95822,1994MO203903M,7/28/1994 0:00,37.1736444,-91.1409611,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO613,"Shannon County, Missouri, North & West Parts",NASIS updated 5/4/2020 8:40:16 AM,12/12/2019 14:17,cl,1.4,4B1a1,0.8,4B1a1,0.2,4B1a1,,,,,0.1,6A2d,4,8C1e,4.9,8C1a,,,,,,,23,,,cl,3A1a1a,35.1,40.9,24,,,
MU017548,15765587,S,43224,42510,M9513106,5397,,41,79,41,79,2Bt1,41302,1995MO119006,Noark,series,"Clayey-skeletal, mixed, semiactive Typic Paleudults",41359,1995MO119006,8/24/1995 0:00,36.5879139,-94.3287944,US,United States,MO,Missouri,MO119,McDonald,116A,Ozark Highland,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:40:34 AM,7/25/2019 13:05,C,13.1,6N2,10.2,6O2,0.6,6Q2,,,,,0.3,6A2d,4.4,8C1e,4.8,8C1a,,,,,,,64,,,C,3A1a1a,78.6,12.5,8.9,,,
81P01370,57946,S,8373,8373,81P0262,562,,20,33,20,33,B,956554,81LA115001,Beauregard,series,"Fine-silty, siliceous, thermic Plinthaquic Paleudult",974848,81LA115001,6/1/1981 0:00,30.9141667,-93.12,US,United States,LA,Louisiana,LA115,Vernon,133B,Western Coastal Plain,LA115,"Vernon Parish, Louisiana",NASIS updated 5/4/2020 8:13:17 AM,6/12/2014 16:16,l,0.25,6N2e,0.44,6O2d,0.05,6Q2b,,,,,0.33,6A1c,4.8,4C1a2a,4.8,4C1a2a,,,,,,,11,,,l,3A1a1a,19.2,41.5,39.3,2,,
FL6501602,15820085,S,51535,50809,S65_016,5460,,13,53,13,53,Bw1,518291,1986-FL129-S65_016,Hurricane,,"Aquic Grossarenic Alorthods, sandy, siliceous, thermic.",529585,S1986-FL129-S65_016,4/15/2011 0:00,30.0911865,-84.4140167,US,United States,FL,Florida,FL129,Wakulla,152A,Eastern Gulf Coast Flatwoods,FL129,"Wakulla County, Florida",NASIS updated 5/4/2020 8:46:14 AM,4/23/2016 6:15,S,0.08,6N2,0.05,6O2,0.01,6Q2,,,,,0.33,6A1a,4.8,8C1e,5.1,8C1a,,,,,,,,,,S,3A1a1a,2.4,4.3,,,,
MU055821,15797662,S,48031,47317,M9611968,5429,,25,48,25,48,A2,94578,1996MO119106,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",94638,1996MO119106,8/29/1996 0:00,36.5438222,-94.2888389,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:03 AM,7/25/2019 13:05,cl,21.3,4B1a1,12.5,4B1a1,0.6,4B1a1,,,,,3.5,6A2d,7.3,8C1e,7.7,8C1a,,,,,,,100,,,cl,3A1a1a,34.3,28,37.7,,,
80P02879,56465,S,8093,8093,80P0511,499,,0,15,0,15,A,110094,S1980LA115002,MALBIS,series,"Fine-loamy, siliceous, thermic Plinthic Paleudults",110080,S1980LA115002,9/24/1980 0:00,31.0069447,-93.0422211,US,United States,LA,Louisiana,LA115,Vernon,133B,Western Coastal Plain,LA115,"Vernon Parish, Louisiana",NASIS updated 5/4/2020 8:12:51 AM,4/22/2016 22:33,lfs,0.71,6N2e,0.16,6O2d,0.05,6Q2b,,,0.024,6B1b,0.53,6A1c,4.6,8C1e,5.3,8C1a,,,,,,,43,,22,lfs,3A1a1a,3.7,18,78.3,1,,
FL3300302,15817582,S,51134,50408,S33_003,5460,,20,53,20,53,Bw1,948932,1980-FL065-S33_003,Troup,series,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",966624,1980FL065003,4/15/2011 0:00,30.5141716,-84.0351028,US,United States,FL,Florida,FL065,Jefferson,133A,Southern Coastal Plain,FL065,"Jefferson County, Florida",NASIS updated 5/4/2020 8:45:36 AM,8/30/2018 21:03,FS,0.44,6N2,0.06,6O2,0.03,6Q2,,,,,0.18,6A1a,4.7,8C1e,5.5,8C1a,,,,,,,,,,FS,3A1a1a,5.6,5.7,,,,
98P00118,149793,S,23469,23469,98P0022,3175,,66,107,66,100,Btg1,109437,97TX419001,GUYTON,series,"Fine-silty, siliceous Typic Vermaqualfs",109423,S1997TX419001,9/22/1997 0:00,31.7363052,-93.8400574,US,United States,TX,Texas,TX419,Shelby,133B,Western Coastal Plain,TX419,"Shelby County, Texas",NASIS updated 5/4/2020 8:29:25 AM,4/22/2016 22:33,sil,1.48,6N2e,2.21,6O2d,0.35,6Q2b,0.1,6A2e,0.019,6B4a,,,3.9,4C1a2a,4.3,4C1a2a,,,,,,,83,0.1,,sil,3A1a1a,22.1,51.2,26.7,0,1.52,4A1h
MU038474,15775929,S,44763,44049,M9010537,5429,,76,94,76,94,Bt2,474097,1990MO105037,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",478055,1990MO105037,1/25/2011 0:00,37.6379,-92.8366,US,United States,MO,Missouri,MO105,Laclede,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:37:39 AM,7/25/2019 13:05,sicl,1.4,4B1a1,2.3,4B1a1,0.4,4B1a1,,,,,0.2,6A2d,4.2,8C1e,5.5,8C1a,,,,,,,38,,,sicl,3A1a1a,34,50.4,15.6,,,
18N01349,15945603,S,74771,135367,18N0188,6182,S2016AL007011-3,30,100,30,100,C2,1105532,S2016AL007011,Bibb,series,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",1112427,S2016AL007011,,32.9561694,-87.4103972,US,United States,AL,Alabama,AL007,Bibb,133A,Southern Coastal Plain,AL007,"Bibb County, Alabama",NASIS updated 5/4/2020 7:59:55 AM,4/3/2018 20:09,sl,0,4B1a1a,0.04,4B1a1a,0.02,4B1a1a,0.24,4H2a,0.03,4H2a,,,4.3,4C1a2a,5,4C1a2a,,,,,0.5,4D6a1,1,0.2,8,sl,3A1a1a,13.1,27.1,59.8,0,,
VPI02971,15857935,S,57704,56903,VPI0297,5566,,3,18,3,18,Ap,363532,V1984-VA081-297,Wickham,,"Fine-loamy, mixed, semiactive, thermic Typic Hapludults",363895,VPI-Wickh-6,9/25/2009 0:00,36.6219101,-77.5014725,US,United States,VA,Virginia,VA081,Greensville,133A,Southern Coastal Plain,VA081,"Greensville County, Virginia",NASIS updated 5/4/2020 8:50:57 AM,4/18/2014 18:09,,1.2,6N2a,0.4,6O2a,0.1,6Q2b,,,,,1.2,6A1a,,,5.2,8C1a,,,,,,,,,,,hyd1,15.9,26.6,57.5,,,
MU021743,15796400,S,47829,47115,M0011913,5429,,18,41,18,41,A2,95205,2000MO119223,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Typic Hapludolls",95265,2000MO119223,4/13/2000 0:00,36.5007194,-94.4388444,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:33:49 AM,7/25/2019 13:05,sicl,45.5,4B1a1,1.2,4B1a1,0.5,4B1a1,,,,,3.4,6A2d,6.9,8C1e,7.4,8C1a,,,,,,,100,,,sicl,3A1a1a,33.6,49.1,17.3,,,
FL2300401,15820793,S,51660,50934,S23_004,5460,,0,10,0,10,A,517489,1989-FL045-S23_004,Leon,,"Aeric Alaquods, sandy, siliceous, thermic.",528742,S1989-FL045-S23_004,4/15/2011 0:00,29.7162838,-85.2337112,US,United States,FL,Florida,FL045,Gulf,152A,Eastern Gulf Coast Flatwoods,FL045,"Gulf County, Florida",NASIS updated 5/4/2020 8:45:25 AM,4/23/2016 6:15,FS,0.36,6N2,0.16,6O2,0.03,6Q2,,,,,0.86,6A1a,3.8,8C1e,5,8C1a,,,,,,,,,,FS,3A1a1a,0.4,0,,,,
MU023106,15785453,S,46240,45526,M0122116,5429,,15,38,15,38,Bt2,471582,2001MO221016,Lily,series,"Fine-loamy, siliceous, semiactive, mesic Typic Hapludults",475428,2001MO221016,1/25/2011 0:00,38.9672203,-92.3450012,US,United States,MO,Missouri,MO221,Washington,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:34:04 AM,7/25/2019 13:05,cl,1.9,4B1a1,3.5,4B1a1,0.2,4B1a1,,,,,0.2,6A2d,4.2,8C1e,5,8C1a,,,,,,,46,,,cl,3A1a1a,27.9,27.8,44.3,,,
FL3301503,15817876,S,51184,50458,S33_015,5460,,64,79,64,79,Eg1,517694,1981-FL065-S33_015,Albany,,"Aquic  Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",528947,S1981-FL065-S33_015,4/15/2011 0:00,30.3399315,-84.0465393,US,United States,FL,Florida,FL065,Jefferson,133A,Southern Coastal Plain,FL065,"Jefferson County, Florida",NASIS updated 5/4/2020 8:45:36 AM,4/23/2016 6:15,FS,0,6N2,0.02,6O2,0.07,6Q2,,,,,0.33,6A1a,4.7,8C1e,5.5,8C1a,,,,,,,,,,FS,3A1a1a,1.4,5.8,,,,
89P04795,102396,N,16309,16309,89P0828,2012,,5,15,5,15,BA,125986,89AR105002,Carnasaw,series,"Clayey, mixed, thermic Typic Hapludults",124242,S1989AR105002,8/1/1989 0:00,34.9166679,-92.9166641,US,United States,AR,Arkansas,AR105,Perry,,,ID685,"Elmore County Area, Idaho, Parts of Elmore and Owyhee Counties",NASIS updated 5/4/2020 8:22:06 AM,10/13/2017 14:12,sil,1.36,6N2e,0.32,6O2d,0.25,6Q2b,,,,,0.48,6A1c,,,,,,,,,,,51,,,sil,3A1a1a,11.5,67.2,21.3,,1.73,4A1h
FL0107103,15815315,S,50807,50081,S01_071,5460,,38,53,38,53,Eg2,516063,1976-FL001-S01_071,Pelham,,"ARENIC PALEAQUULTS, SANDY, SILICEOUS, THERMIC",527357,S1976-FL001-S01_071,4/15/2011 0:00,29.7265663,-82.4175644,US,United States,FL,Florida,FL001,Alachua,155,Southern Florida Flatwoods,FL001,"Alachua County, Florida",NASIS updated 5/4/2020 8:44:19 AM,4/23/2016 6:15,S,0.29,6N2,0.06,6O2,0.09,6Q2,,,,,0.13,6A1a,4.3,8C1e,5,8C1a,,,,,,,,,,S,3A1a1a,6.8,4.5,,,,
MU045492,15773259,S,44361,43647,M9210566,5429,,76,114,76,100,2Bt3,39831,1992MO105332,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",39888,1992MO105332,10/17/1992 0:00,37.7286111,-92.6972222,US,United States,MO,Missouri,MO105,Laclede,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:39:01 AM,7/25/2019 13:05,sic,3.7,4B1a1,2.3,4B1a1,0.2,4B1a1,,,,,0.1,6A2d,4.2,8C1e,5.1,8C1a,,,,,,,48,,,sic,3A1a1a,44.3,42,13.7,,,
82P01466,63126,S,9232,9232,82P0278,715,,20,71,20,71,Bt1,956809,82LA069016C,Malbis,series,"Fine-loamy, siliceous, subactive, thermic Plinthic Paleudult",975103,82LA069016C,6/1/1982 0:00,31.3961111,-93.115,US,United States,LA,Louisiana,LA069,Natchitoches,133B,Western Coastal Plain,LA069,"Natchitoches Parish, Louisiana",NASIS updated 5/4/2020 8:14:18 AM,6/12/2014 16:16,scl,0.95,6N2e,1.16,6O2d,0.09,6Q2b,,,,,0.18,6A1c,4.1,4C1a2a,4.9,4C1a2a,,,,,,,31,,,scl,3A1a1a,28.3,23.1,48.6,0,,
40A33629,31763,S,4171,4171,40A4406,1,8336,0,13,0,13,Ap,107671,S1958AR105001,Sharkey,series,,107688,S1958AR105001,6/10/1958 0:00,34.9902763,-92.6561127,US,United States,AR,Arkansas,AR105,Perry,,,AR105,"Perry County, Arkansas",NASIS updated 5/4/2020 8:05:15 AM,10/13/2017 14:12,c,21.1,6N2b,12.1,6O2b,0.6,6Q2a,,,,,1.69,6A1a,,,5.5,8C1a,,,,,,,88,,,c,3A1a1a,65.1,33.3,1.6,0,,
MU026051,15788026,S,46621,45907,M0414301,5429,,81,108,81,100,Bt1,157426,2004MO143001,Kolin,,"Fine-silty, mixed, active, thermic Haplic Glossudalfs",161797,2004MO143001,4/5/2004 0:00,36.7046013,-89.5091858,US,United States,MO,Missouri,MO143,New Madrid,131,Southern Mississippi Valley Alluvium,MO143,"New Madrid County, Missouri",NASIS updated 5/4/2020 8:34:36 AM,5/6/2013 19:33,sil,10.9,4B1a1,3.7,4B1a1,0.4,4B1a1,,,,,0.3,6A2d,4.7,8C1e,5.4,8C1a,,,,,,,72,,,sil,3A1a1a,26.1,68,5.9,,,
03N03677,185678,S,30115,30007,03N0739,4280,S01AR-061-002-3,38,104,38,100,Bt2,423016,S2001AR061002,Saffell,series,"Loamy-skeletal, siliceous, semiactive, thermic Typic Hapludults",425263,S2001AR061002,5/1/2001 0:00,34.0063896,-93.9422226,US,United States,AR,Arkansas,AR061,Howard,133B,Western Coastal Plain,AR061,"Howard County, Arkansas",NASIS updated 5/4/2020 7:41:12 AM,10/13/2017 14:12,l,0.26,4B1a1a,0,4B1a1a,0,4B1a1a,0.15,4H2a,0.025,4H2a,,,4.3,4C1a2a,4.8,4C1a2a,,,,,,,14,0.2,6,l,3A1a1a,12.8,47.4,39.8,0,,
FL6600704,15817138,S,51069,50343,S66_007,5460,,74,96,74,96,Bt3,518299,1979-FL131-S66_007,Poarch,,"Plinthic Paleudults, coarse-loamy, siliceous, semiactive, thermic.",529593,S1979-FL131-S66_007,4/15/2011 0:00,30.9203548,-86.2140961,US,United States,FL,Florida,FL131,Walton,133A,Southern Coastal Plain,FL131,"Walton County, Florida",NASIS updated 5/4/2020 8:46:14 AM,4/23/2016 6:15,FSL,0.06,6N2,0.1,6O2,0.01,6Q2,,,,,0.09,6A1a,4.4,8C1e,4.9,8C1a,,,,,,,,,,FSL,3A1a1a,18.9,25.3,,,,
40A38226,36147,S,4802,4802,40A5061,1,53911,0,13,0,13,A,100577,S1953FL033020,DOTHAN,series,,100594,S1953FL033020,5/26/1953 0:00,30.6774445,-87.3122253,US,United States,FL,Florida,FL033,Escambia,,,FL033,"Escambia County, Florida",NASIS updated 5/4/2020 8:05:50 AM,4/23/2016 6:15,fsl,0.8,6N2d,0.1,6O2b,0.02,6Q2a,,,,,0.83,6A1a,,,5,8C1a,,,,,,,,,,fsl,3A1a1a,5.8,24,70.2,0,,
86P01303,82949,S,12891,12891,86P0219,1373,,0,5,0,5,A,123196,1985MO029007,Clarksville,taxadjunct,"Loamy-skeletal, mixed, semiactive, mesic Typic Paleudalfs",121452,1985MO029007S,11/1/1985 0:00,38.1027794,-92.6252747,US,United States,MO,Missouri,MO029,Camden,116A,Ozark Highland,MO029,"Camden County, Missouri",NASIS updated 5/4/2020 8:18:34 AM,2/7/2019 16:56,sil,3.67,6N2e,1.19,6O2d,0.19,6Q2b,,,0.1,6B3a,2.09,6A1c,4.8,4C1a2a,5.2,4C1a2a,,,,,,,76,,21,sil,3A1a1a,6.1,56.5,37.4,52,,
06N03457,202679,S,33415,33265,06N0830,4827,S06SC061-001-2,4,16,4,16,A,212118,S2006SC061001,Fuquay,series,"Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults",214124,Stuckey,5/12/2006 0:00,34.2583351,-80.2813873,US,United States,SC,South Carolina,SC061,Lee,133A,Southern Coastal Plain,SC061,"Lee County, South Carolina",NASIS updated 5/4/2020 7:43:59 AM,4/20/2016 13:30,ls,0.34,4B1a1a,0.1,4B1a1a,0,4B1a1a,2.38,4H2a,0.027,4H2a,,,3.6,4C1a2a,4.2,4C1a2a,2,4D3a1,,,,,7,2.4,88,ls,3A1a1a,2.6,15.2,82.2,1,1.43,DbWR1
FL0401004,15819650,S,51462,50736,S04_010,5460,,66,86,66,86,Eg2,517148,1986-FL007-S04_010,Pottsburg,,"GROSSARENIC  ALAQUODS, SANDY, SILICEOUS, THERMIC",528442,S1986-FL007-S04_010,4/15/2011 0:00,29.9100437,-82.3132324,US,United States,FL,Florida,FL007,Bradford,153A,Atlantic Coast Flatwoods,FL007,"Bradford County, Florida",NASIS updated 5/4/2020 8:44:31 AM,4/24/2016 14:26,S,0.01,6N2,0.01,6O2,0,6Q2,,,,,0.01,6A1a,4.9,8C1e,4.6,8C1a,,,,,,,,,,S,3A1a1a,2.2,5,,,,
MU048813,15799533,S,48337,47623,M9316703,5429,,15,36,15,36,A2,93301,1992MO167323,Moko,series,"Clayey-skeletal, mixed Lithic Hapludolls",93361,1992MO167323,9/2/1992 0:00,37.7610333,-93.3459972,US,United States,MO,Missouri,MO167,Polk,116B,Springfield Plain,MO167,"Polk County, Missouri",NASIS updated 5/4/2020 8:39:38 AM,7/25/2019 13:05,c,19.1,4B1a1,18.2,4B1a1,0.3,4B1a1,,,,,3.4,6A2d,6.6,8C1e,7.1,8C1a,,,,,,,98,,,c,3A1a1a,44.9,31.1,24,,,
CL0526,15936473,S,73068,133801,S89SC017-13,5932,S1993SC017021-4,89,147,89,100,Bt2,1118099,S1993SC017021,Orangeburg,series,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",1127796,S1993SC017021,8/7/2015 0:00,33.6751062,-80.9329499,US,United States,SC,South Carolina,SC017,Calhoun,133A,Southern Coastal Plain,SC017,"Calhoun County, South Carolina",NASIS updated 5/4/2020 8:46:51 AM,11/1/2016 20:13,scl,1.25,4B1a1,0.58,4B1a1,0.05,4B1a1,,,,,,,,,5.3,8C1a,,,,,,,66,,,scl,3A1a1a,24.9,8.5,66.6,,,
MU020284,15768315,S,43632,42918,M9561394,5397,,74,91,74,91,Bt4,1367298,1995MO203094M,Portia,taxadjunct,"Fine-loamy, siliceous, semiactive, mesic Typic Hapludalfs",96957,1995MO203094M,11/20/1996 0:00,37.2677222,-91.4158111,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:40:49 AM,10/18/2019 14:35,SICL,3.3,6N2,2.3,6O2,0.3,6Q2,,,,,0.1,6A2d,4.5,8C1e,5.3,8C1a,,,,,,,56,,,SICL,3A1a1a,29.2,61.4,9.4,,,
FL1201203,15816955,S,51044,50318,S12_012,5460,,30,53,30,53,Bw2,517299,1979-FL023-S12_012,Ocilla,,"Aquic Arenic Paleudults, loamy, siliceous, semiactive, thermic.",528593,S1979-FL023-S12_012,4/15/2011 0:00,30.2852383,-82.7350693,US,United States,FL,Florida,FL023,Columbia,138,North-Central Florida Ridge,FL023,"Columbia County, Florida",NASIS updated 5/4/2020 8:45:05 AM,4/23/2016 6:15,FS,0.14,6N2,0.07,6O2,0.02,6Q2,,,,,0.1,6A1a,4.7,8C1e,5.8,8C1a,,,,,,,,,,FS,3A1a1a,2.6,7.7,,,,
40A38220,36141,S,4800,4800,40A5059,1,53835,91,127,91,100,C2,100563,S1953FL033005,DOTHAN,series,,100580,S1953FL033005,5/26/1953 0:00,30.9604912,-87.4733429,US,United States,FL,Florida,FL033,Escambia,,,FL033,"Escambia County, Florida",NASIS updated 5/4/2020 8:05:50 AM,4/23/2016 6:15,scl,0.1,6N2d,0.2,6O2b,0.02,6Q2a,,,,,0,6A1a,,,5,8C1a,,,,,,,,,,scl,3A1a1a,31.7,21,47.3,0,,
11N00645,15831296,S,53497,52732,11N0138,5518,S10GA275008-5,52,77,52,77,Btc2,890558,S10GA275008,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",908449,S10GA275008,9/9/2013 0:00,30.854625,-84.0128722,US,United States,GA,Georgia,GA275,Thomas,133A,Southern Coastal Plain,GA612,"Brooks and Thomas Counties, Georgia",NASIS updated 5/4/2020 7:50:48 AM,2/6/2018 18:16,sc,0.59,4B1a1a,0.82,4B1a1a,0.02,4B1a1a,0.28,4H2a,0.009,4H2a,,,4.7,4C1a2a,5.4,4C1a2a,,,,,,,38,0.3,31,sc,3A1a1a,36,7.8,56.2,18,,
08N00103,207951,S,34318,34104,08N0019,4960,S07AL129-001-2,18,41,18,41,E1,1244593,S2007AL129001,Poarch,series,"Coarse-loamy, siliceous, semiactive, thermic Plinthic Paleudults",262903,S2007AL129001,6/21/2007 0:00,31.320055,-88.1013031,US,United States,AL,Alabama,AL129,Washington,,,AL129,"Washington County, Alabama",NASIS updated 5/4/2020 7:46:11 AM,6/9/2018 11:32,fsl,0.1,4B1a1a,0,4B1a1a,0.07,4B1a1a,0.18,4H2a,0,4H2a,,,4.5,4C1a2a,5.1,4C1a2a,1.1,4D3a1,,,,,25,0.2,,fsl,3A1a1a,3.7,26.1,70.2,1,,
98P00337,150012,S,23494,23494,98P0047,3178,,0,5,0,5,Ap,109005,97VA033006,WICKHAM,series,,108991,S1997VA033006,10/7/1997 0:00,,,US,United States,VA,Virginia,VA033,Caroline,133A,Southern Coastal Plain,VA033,"Caroline County, Virginia",NASIS updated 5/4/2020 8:29:27 AM,4/24/2016 14:12,l,3.73,6N2e,1.34,6O2d,1.19,6Q2b,1,6A2e,,,,,5.2,4C1a2a,5.6,4C1a2a,50,6S3b,,,,,78,1,,l,3A1a1a,19.6,46.9,33.5,0,,
89P03723,101324,S,16146,16146,89P0664,1988,,41,64,41,64,E2,958185,89FL067006A,Hurricane,series,,976479,89FL067006A,6/1/1989 0:00,,,US,United States,FL,Florida,FL067,Lafayette,,,,,NASIS updated 5/4/2020 8:21:57 AM,6/12/2014 16:16,fs,0.07,6N2e,0.05,6O2d,0,6Q2b,,,,,0.39,6A1c,4.6,4C1a2a,5,4C1a2a,,,,,,,20,,,fs,3A1a1a,0,4.9,95.1,0,,
